ticker,close,volume,change_%,value_traded,hhi_score,foreign_ratio,rvol_ratio,pct_rvol,pct_hhi_mom,pct_flow,leading_score,pct_change,quant_score,prev_quant_score,score_diff
ALBTN,35.2,24442216,10.000000000000009,860366003.2,0.0,0.0,1.0,50.2,50.2,50.2,50.2,100.0,60.160000000000004,58.64,1.5200000000000031
HATSN,69.3,15974401,9.999999999999995,1107025989.3,0.0,0.0,1.0,50.2,50.2,50.2,50.2,99.6,60.080000000000005,59.760000000000005,0.3200000000000003
BRSAN,759.5,5671376,9.992758870383781,4307410072.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,99.2,60.00000000000001,46.32,13.680000000000007
TKNKA,113.5,884656,9.980620155038757,100408456.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,98.8,59.92,59.92,0.0
PATEK,22.04,50859789,9.980039920159681,1120949749.56,0.0,0.0,1.0,50.2,50.2,50.2,50.2,98.4,59.84,49.2,10.64
BRLSM,19.09,7055283,9.965437788018436,134685352.47,0.0,0.0,1.0,50.2,50.2,50.2,50.2,98.0,59.760000000000005,59.6,0.1600000000000037
GIPTA,93.9,1427999,9.953161592505854,134089106.10000001,0.0,0.0,1.0,50.2,50.2,50.2,50.2,97.6,59.68,58.400000000000006,1.279999999999994
PLTUR,22.56,9229263,9.941520467836254,208212173.28,0.0,0.0,1.0,50.2,50.2,50.2,50.2,97.2,59.6,59.6,0.0
VEYAS,149.4,10326821,9.933774834437086,1542827057.4,0.0,0.0,1.0,50.2,50.2,50.2,50.2,96.8,59.52,48.28,11.240000000000002
CITAS,118.5,48737579,9.925788497217072,5775403111.5,0.0,0.0,1.0,50.2,50.2,50.2,50.2,96.39999999999999,59.440000000000005,59.68,-0.23999999999999488
OZATD,4785.0,1618477,9.873708381171067,7744412445.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,96.0,59.36000000000001,48.28,11.080000000000005
NETAS,108.5,5119524,9.43015632879475,555468354.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,95.6,59.28,59.440000000000005,-0.1600000000000037
TSPOR,1.17,474767374,9.345794392523352,555477827.5799999,0.0,0.0,1.0,50.2,50.2,50.2,50.2,95.19999999999999,59.2,41.52,17.68
ENDAE,20.46,18125993,8.598726114649686,370857816.78000003,0.0,0.0,1.0,50.2,50.2,50.2,50.2,94.8,59.120000000000005,57.36,1.7600000000000051
TARKM,499.0,356217,8.067135896047645,177752283.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,94.39999999999999,59.04,59.04,0.0
KLGYO,4.9,26836407,7.92951541850221,131498394.30000001,0.0,0.0,1.0,50.2,50.2,50.2,50.2,94.0,58.96,58.96,0.0
SVGYO,17.9,30628700,7.831325301204801,548253730.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,93.60000000000001,58.88,40.400000000000006,18.479999999999997
SNGYO,3.41,32667550,7.232704402515722,111396345.5,0.0,0.0,1.0,50.2,50.2,50.2,50.2,93.2,58.800000000000004,58.800000000000004,0.0
EDIP,36.9,4092329,7.2051133062173065,151006940.1,0.0,0.0,1.0,50.2,50.2,50.2,50.2,92.80000000000001,58.720000000000006,58.720000000000006,0.0
ADEL,35.62,10878743,6.966966966966968,387500825.65999997,0.0,0.0,1.0,50.2,50.2,50.2,50.2,92.4,58.64,47.6,11.04
ORGE,23.94,11260623,6.875000000000013,269579314.62,0.0,0.0,1.0,50.2,50.2,50.2,50.2,92.0,58.56,45.440000000000005,13.119999999999997
BLCYT,22.26,6676101,6.609195402298863,148610008.26000002,0.0,0.0,1.0,50.2,50.2,50.2,50.2,91.60000000000001,58.480000000000004,56.16,2.3200000000000074
EKGYO,20.7,156106049,6.426735218508997,3231395214.2999997,0.0,0.0,1.0,50.2,50.2,50.2,50.2,91.2,58.400000000000006,51.36000000000001,7.039999999999999
SAYAS,62.65,4652220,6.276505513146727,291461583.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,90.8,58.32,51.44,6.880000000000003
KNFRT,12.74,13449317,6.166666666666668,171344298.58,0.0,0.0,1.0,50.2,50.2,50.2,50.2,90.4,58.24,58.24,0.0
BRYAT,1805.0,268728,6.114050558495003,483426144.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,90.0,58.160000000000004,58.160000000000004,0.0
VBTYZ,38.66,4241860,5.8598028477546364,163990307.6,0.0,0.0,1.0,50.2,50.2,50.2,50.2,89.60000000000001,58.080000000000005,52.8,5.280000000000008
TKFEN,217.4,6543155,5.585235551238465,1422481897.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,89.2,58.0,40.64,17.36
PASEU,212.7,10901262,5.140879881364299,2318698427.4,0.0,0.0,1.0,50.2,50.2,50.2,50.2,88.8,57.92,48.28,9.64
ZGYO,31.52,17281539,5.136757838559037,544714109.28,0.0,0.0,1.0,50.2,50.2,50.2,50.2,88.4,57.84,53.440000000000005,4.399999999999999
OFSYM,66.0,4473174,5.0955414012738895,295229484.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,88.0,57.760000000000005,41.120000000000005,16.64
OBAMS,5.4,81807090,4.854368932038835,441758286.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,87.6,57.68,55.040000000000006,2.6399999999999935
KLYPV,68.2,13943393,4.601226993865031,950939402.6,0.0,0.0,1.0,50.2,50.2,50.2,50.2,87.2,57.6,59.84,-2.240000000000002
KLRHO,68.35,5471980,4.35114503816793,374009832.99999994,0.0,0.0,1.0,50.2,50.2,50.2,50.2,86.8,57.52,44.48,13.040000000000006
SMRTG,10.23,24370808,4.281345565749235,249313365.84,0.0,0.0,1.0,50.2,50.2,50.2,50.2,86.4,57.440000000000005,45.28,12.160000000000004
KUYAS,65.6,4854111,4.126984126984118,318429681.59999996,0.0,0.0,1.0,50.2,50.2,50.2,50.2,86.0,57.36,46.08,11.280000000000001
ORZAX,103.8,8006093,4.112337011033094,831032453.4,0.0,0.0,1.0,50.2,50.2,50.2,50.2,85.6,57.28,42.56,14.719999999999999
OTKAR,329.25,1018265,4.028436018957346,335263751.25,0.0,0.0,1.0,50.2,50.2,50.2,50.2,85.2,57.2,45.92,11.280000000000001
YKBNK,36.48,242160843,3.9316239316239185,8834027552.64,0.0,0.0,1.0,50.2,50.2,50.2,50.2,84.8,57.120000000000005,51.52,5.600000000000001
VAKFA,11.44,16678140,3.9055404178019955,190797921.6,0.0,0.0,1.0,50.2,50.2,50.2,50.2,84.39999999999999,57.04,57.04,0.0
ALTIN,80.06,20582153,3.704663212435232,1647807169.18,0.0,0.0,1.0,50.2,50.2,50.2,50.2,84.0,56.96,55.2,1.759999999999998
KBORU,22.06,5766212,3.6654135338345752,127202636.72,0.0,0.0,1.0,50.2,50.2,50.2,50.2,83.6,56.88,56.88,0.0
GUBRF,493.0,8495395,3.6258539148712563,4188229735.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,83.2,56.800000000000004,55.68000000000001,1.1199999999999974
ATATP,318.75,1035293,3.5743298131600327,329999643.75,0.0,0.0,1.0,50.2,50.2,50.2,50.2,82.8,56.72,41.36,15.36
PSDTC,162.0,863447,3.5143769968051117,139878414.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,82.39999999999999,56.64,59.92,-3.280000000000001
HLGYO,4.43,41859424,3.504672897196249,185437248.32,0.0,0.0,1.0,50.2,50.2,50.2,50.2,82.0,56.56,56.56,0.0
TRALT,56.45,134088954,3.4830430797433656,7569321453.3,0.0,0.0,1.0,50.2,50.2,50.2,50.2,81.6,56.480000000000004,58.48,-1.999999999999993
AKBNK,72.05,177390110,3.371592539454798,12780957425.5,0.0,0.0,1.0,50.2,50.2,50.2,50.2,81.2,56.400000000000006,50.8,5.6000000000000085
ARSAN,4.01,38045498,3.3505154639175228,152562446.98,0.0,0.0,1.0,50.2,50.2,50.2,50.2,80.80000000000001,56.32000000000001,57.760000000000005,-1.4399999999999977
ZERGY,9.2,12435865,3.254769921436578,114409957.99999999,0.0,0.0,1.0,50.2,50.2,50.2,50.2,80.4,56.24,56.24,0.0
ECILC,78.4,11448969,3.090072320841563,897599169.6,0.0,0.0,1.0,50.2,50.2,50.2,50.2,80.0,56.160000000000004,49.6,6.560000000000002
GOLDA,13.43,46354454,3.069838833461246,622540317.22,0.0,0.0,1.0,50.2,50.2,50.2,50.2,79.60000000000001,56.080000000000005,54.16,1.9200000000000088
MRGYO,1.37,182217316,3.0075187969924837,249637722.92000002,0.0,0.0,1.0,50.2,50.2,50.2,50.2,79.2,56.0,56.0,0.0
TRMET,147.6,9070549,3.0006978367061987,1338813032.3999999,0.0,0.0,1.0,50.2,50.2,50.2,50.2,78.8,55.92,59.36000000000001,-3.440000000000005
SOHOE,11.01,27569640,2.9934518241347083,303541736.4,0.0,0.0,1.0,50.2,50.2,50.2,50.2,78.4,55.84,42.24,13.600000000000001
EGGUB,106.8,991695,2.9893924783027908,105913026.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,78.0,55.760000000000005,55.760000000000005,0.0
SDTTR,270.75,1078049,2.9467680608365017,291881766.75,0.0,0.0,1.0,50.2,50.2,50.2,50.2,77.60000000000001,55.68000000000001,53.68000000000001,2.0
EKDMR,47.66,8219940,2.937365010799135,391762340.4,0.0,0.0,1.0,50.2,50.2,50.2,50.2,77.2,55.6,44.400000000000006,11.199999999999996
ALBRK,8.94,30107338,2.8768699654775607,269159601.71999997,0.0,0.0,1.0,50.2,50.2,50.2,50.2,76.8,55.52,55.52,0.0
BOBET,20.06,5195736,2.871794871794865,104226464.16,0.0,0.0,1.0,50.2,50.2,50.2,50.2,76.4,55.440000000000005,40.88,14.560000000000002
SARKY,25.82,7688403,2.786624203821653,198514565.46,0.0,0.0,1.0,50.2,50.2,50.2,50.2,76.0,55.36,49.36,6.0
GUNDG,1994.0,532591,2.7835051546391756,1061986454.0,0.0,0.0,1.0,50.2,50.2,50.2,50.2,75.6,55.28,53.760000000000005,1.519999999999996
AKFIS,17.76,26938777,2.77777777777778,478432679.52000004,0.0,0.0,1.0,50.2,50.2,50.2,50.2,75.2,55.2,52.64,2.5600000000000023
RYSAS,23.84,8996361,2.758620689655175,214473246.24,0.0,0.0,1.0,50.2,50.2,50.2,50.2,74.8,55.120000000000005,48.8,6.320000000000007
EGEGY,32.46,8050303,2.7215189873417702,261312835.38,0.0,0.0,1.0,50.2,50.2,50.2,50.2,74.4,55.040000000000006,56.96,-1.9199999999999946
